Part_ID,Part_Name,Subassembly,Quantity,Material,Mass_g,Airfoil,Length_mm,Function,Sub_System,Emplacement,Origin,Notes
FUS-001,Main fuselage hull,Fuselage,1,Carbon/Kevlar composite,680,N/A,N/A,Aircraft structural backbone; houses avionics bay and payload bay,Body,Fuselage principal — épine dorsale,V2,Bolted to wing spar box (FUS-003 flange)
FUS-002,Nose cone / radome shell,Fuselage,1,3D-printed PA12 or ABS,90,N/A,N/A,Aerodynamic nose; RF-transparent radome for optional antenna,Nose,Pointe avant — radome,FUS-002,Bonded to FUS-001; integrates O-ring groove for weather seal
FUS-003,Wing root chord spar adapter,Fuselage,1,Al 7075-T6,120,N/A,N/A,Primary load-transferring joint between wing spar and fuselage,Junction,Wing root junction — FUS/FUS-003,V2,Bolted M5 titanium fasteners to FUS-001; accepts wing spar tube
FUS-004,Avionics mounting tray,Fuselage,1,Al 6061-T6 plate 2mm,85,N/A,N/A,Mechanical substrate for all avionics boards,Tray,Interior avionics bay,FUS-004,Drop-in tray; M3 standoffs; indexed to FUS-001 bore
FUS-005,Payload bay inserts (x4),Fuselage,1,Brass heat-set inserts,12,N/A,N/A,Load-bearing threaded inserts in payload bay walls,Bay,Payload bay walls,FUS-005,Heat-set pressed into FUS-001 composite shell
FUS-006,Battery tray / retention cage,Fuselage,1,Al 6061-T6,180,N/A,N/A,Captive battery holder; prevents movement in flight envelope,Tray,Battery bay inside fuselage,FUS-006,Shock-absorbing foam strips; Velcro strap; indexed to FUS-004 tray
FUS-007,VTOL pylon mount (front pair),Fuselage,2,Al 7075-T6 CNC,95,N/A,N/A,Structural mounting foot for front lift-rotor pylons,Pylon,Front left/right motor mount points,FUS-007,Bolted M4 to FUS-001; pivot axis defined by tilt base
FUS-008,VTOL pylon mount (rear pair),Fuselage,2,Al 7075-T6 CNC,100,N/A,N/A,Structural mounting foot for rear tilt-rotor nacelles,Pylon,Rear left/right motor mount points,FUS-008,Bolted M4 to FUS-001; pivot axis defined by tilt base
FUS-009,Landing gear strut (front),Fuselage,2,Carbon tube + Al brace,130,N/A,N/A,Primary landing support; absorbs ground impact,Gear,Underside front of fuselage,FUS-009,Bolted M4 to FUS-001 underside; accepts wheel assembly
FUS-010,Landing gear strut (rear),Fuselage,2,Carbon tube + Al brace,110,N/A,N/A,Rear landing support; ground steering pivot,Gear,Underside rear of fuselage,FUS-010,Bolted M4 to FUS-001 underside; incorporates toe-in angle
FUS-011,Wheel / tyre assembly (all),Fuselage,4,PU tyre + Al hub,45,N/A,N/A,Ground roll; steerable rear pair,Wheel,4 wheels — 2 rear steerable,FUS-011,Press-fit on axle; secured by E-clip
FUS-012,Pushrod connectors (control surface),Fuselage,8,Al 7075,8,N/A,N/A,Ball-link attachment at control surface hinge line,Linkage,All control surface hinge lines,FUS-012,M2 ball-end fits servo arm; duplicated per surface for fail-safe
